# size  direct_steps  direct_allocs  anf_steps  anf_allocs
4  6454  1071  7570  1443
5  18222  3135  21234  4139
6  57886  10335  66994  13371
7  201726  37023  232242  47195
8  747454  139551  857650  176283
9  2871102  541215  3288114  680219
10  11247166  2130975  12867634  2671131
