# size  direct_steps  direct_allocs  anf_steps  anf_allocs
2  336  63  390  81
4  729  117  864  162
6  1777  261  2128  378
8  4528  639  5446  945
10  11733  1629  14136  2430
12  30597  4221  36888  6318
14  79984  11007  96454  16497
16  209281  28773  252400  43146
18  547785  75285  660672  112914
20  1434000  197055  1729542  295569
22  3754141  515853  4527880  773766
