# size  direct_steps  direct_allocs  anf_steps  anf_allocs
10  8235  1421  9474  1834
20  29850  5171  34089  6584
30  65165  11321  74204  14334
40  114180  19871  129819  25084
50  176895  30821  200934  38834
60  253310  44171  287549  55584
80  447240  78071  507279  98084
100  695970  121571  789009  152584
120  999500  174671  1132739  219084
