# size  direct_steps  direct_allocs  anf_steps  anf_allocs
4  3738  551  4491  802
6  14874  2135  17931  3154
8  59418  8471  71691  12562
10  237594  33815  286731  50194
12  950298  135191  1146891  200722
14  3801114  540695  4587531  802834
